type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879991511,0,110,0,0,2879.79,384,[0 0 0 0 0 0 0 0 0 0 0 0 -7 -1 -7 -1 -7 -2 -7 -2 -7 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -2 -9 -2 -9 -2 -9 -3 -10 -2 -9 -3 -9 -3 -9 -3 0 0 -8 -4 -8 -4 -7 -4 -7 -3 -6 -3 -6 -3 -5 -2 -5 -2 -6 -2 -5 -1 -5 -1 -5 -1 -5 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -1 -3 0 -3 0 -3 0 -3 0 -3 1 -4 0 -4 1 -5 1 0 0 0 0 0 0 0 0 0 0 ],1771738835.5277948
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879991728,0,110,0,0,2879.83,384,[0 0 0 0 0 0 0 0 0 0 0 0 -4 4 -5 4 -5 4 -6 4 -6 4 -6 4 -6 4 -6 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 4 -7 5 -7 5 -7 5 -7 5 -8 5 -8 5 -8 5 -8 4 0 0 -8 3 -7 3 -7 3 -6 2 -6 2 -5 2 -5 2 -5 3 -5 2 -4 3 -4 3 -4 3 -4 2 -4 2 -3 2 -3 2 -3 2 -3 2 -3 2 -2 2 -2 2 -2 2 -2 2 -2 3 -2 3 -2 3 0 0 0 0 0 0 0 0 0 0 ],1771738835.562948
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879991882,0,110,0,0,2879.87,384,[0 0 0 0 0 0 0 0 0 0 0 0 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 -6 -7 -7 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -7 -7 -8 -7 -7 -7 -7 -7 -7 -7 -7 -8 -7 -8 -7 -8 -8 -7 -8 -7 -8 0 0 -6 -8 -5 -8 -5 -7 -5 -6 -5 -6 -5 -5 -4 -5 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -4 -4 -4 -3 -4 -3 -4 -3 -3 -3 -4 -2 -3 -2 -3 -2 -3 -1 -3 -1 -4 -1 -4 -1 -5 -1 -5 -1 0 0 0 0 0 0 0 0 0 0 ],1771738835.603316
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879992036,0,110,0,0,2879.91,384,[0 0 0 0 0 0 0 0 0 0 0 0 1 -7 2 -7 3 -7 3 -8 3 -7 3 -8 3 -7 3 -8 4 -7 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 4 -9 5 -9 0 0 5 -8 5 -7 5 -7 4 -6 3 -6 3 -6 3 -6 2 -5 2 -5 2 -5 1 -5 1 -5 1 -5 1 -5 1 -4 1 -4 1 -4 1 -4 0 -4 0 -4 0 -4 0 -4 -1 -4 -1 -4 -1 -4 -1 -5 0 0 0 0 0 0 0 0 0 0 ],1771738835.638929
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2880250854,0,110,0,0,2879.95,384,[0 0 0 0 0 0 0 0 0 0 0 0 2 -6 2 -6 3 -7 3 -7 4 -7 3 -7 4 -7 4 -7 5 -7 5 -7 4 -7 5 -7 5 -7 5 -7 5 -7 5 -7 5 -6 5 -7 5 -7 4 -7 5 -8 5 -8 5 -8 5 -8 5 -8 6 -7 0 0 6 -6 5 -6 5 -5 4 -5 4 -5 3 -5 3 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -5 2 -4 1 -4 1 -4 1 -4 1 -4 0 -4 0 -4 0 -4 0 -5 -1 -5 -1 -6 -1 -6 0 -6 0 0 0 0 0 0 0 0 0 0 ],1771738835.674916
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2880251659,0,110,0,0,2879.98,384,[0 0 0 0 0 0 0 0 0 0 0 0 -4 -6 -4 -6 -3 -7 -3 -7 -3 -7 -3 -7 -3 -8 -3 -8 -2 -8 -2 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -9 -3 -9 -3 -9 -3 -9 -2 -9 -2 -9 0 0 -2 -9 -1 -8 -1 -8 -1 -7 -1 -6 -2 -6 -2 -6 -2 -5 -2 -5 -3 -5 -3 -5 -3 -5 -2 -5 -2 -4 -2 -4 -3 -4 -2 -4 -3 -4 -3 -3 -3 -3 -4 -3 -4 -3 -4 -3 -4 -3 -5 -3 -5 -4 0 0 0 0 0 0 0 0 0 0 ],1771738835.715324
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2880255117,0,110,0,0,2880.02,384,[0 0 0 0 0 0 0 0 0 0 0 0 -1 -7 0 -7 0 -8 0 -8 1 -8 1 -8 1 -8 1 -8 1 -8 2 -9 2 -8 2 -9 2 -9 2 -9 2 -8 2 -8 2 -8 2 -9 1 -8 1 -9 1 -9 1 -9 1 -9 2 -9 2 -9 2 -9 0 0 3 -8 3 -8 2 -7 2 -6 2 -6 1 -6 1 -6 1 -6 0 -6 0 -6 0 -5 0 -5 0 -5 0 -5 -1 -5 0 -4 -1 -4 -1 -4 -1 -4 -1 -4 -2 -4 -2 -4 -2 -5 -3 -5 -3 -5 -3 -6 0 0 0 0 0 0 0 0 0 0 ],1771738835.751898
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2880255435,0,110,0,0,2880.06,384,[0 0 0 0 0 0 0 0 0 0 0 0 5 4 4 4 4 5 4 5 4 5 4 5 4 6 4 6 4 6 4 7 4 7 4 7 4 7 4 7 4 7 4 7 4 6 4 7 4 6 4 7 4 7 5 7 5 7 5 7 5 7 4 7 0 0 3 7 3 7 2 6 3 5 2 5 3 5 3 4 3 4 3 4 3 3 3 3 3 3 3 3 2 3 3 2 2 2 3 2 3 2 3 1 3 1 3 1 4 1 4 0 4 1 5 1 5 1 0 0 0 0 0 0 0 0 0 0 ],1771738835.783322
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2880256238,0,110,0,0,2880.09,384,[0 0 0 0 0 0 0 0 0 0 0 0 6 -2 6 -2 6 -2 6 -2 7 -2 7 -1 8 -1 8 -1 8 -1 8 -1 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 -1 8 -1 8 -1 8 -2 8 -2 9 -1 9 -1 9 -1 9 0 0 0 8 0 7 0 6 0 6 0 6 -1 5 -1 5 -1 5 -1 5 -1 5 -2 5 -2 4 -2 4 -2 4 -2 4 -2 3 -2 3 -2 3 -2 3 -2 2 -3 3 -3 2 -3 3 -4 3 -4 3 -4 4 -4 0 0 0 0 0 0 0 0 0 0 ],1771738835.8175108
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2880257351,0,110,0,0,2880.12,384,[0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 6 -1 7 -1 6 -1 7 -1 7 -1 7 -2 7 -1 7 -2 8 -2 8 -2 8 -2 8 -2 8 -2 7 -2 8 -2 7 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 -2 9 -2 8 -2 8 0 0 -3 7 -2 7 -2 6 -2 6 -2 5 -1 5 -1 5 -1 5 0 4 0 4 0 5 0 4 0 4 0 4 1 4 0 3 1 3 1 3 1 3 1 3 2 3 2 3 2 3 3 3 3 4 3 4 0 0 0 0 0 0 0 0 0 0 ],1771738835.854495
